MQ2,MQ3,MQ5,MQ8,MQ135
53,101,14,86,631
58,104,16,90,627
59,102,24,83,629
53,107,20,86,624
48,106,18,84,626
54,102,18,83,629
55,106,20,86,624
51,106,16,84,628
55,102,16,87,627
62,106,19,84,619
58,103,17,85,627
55,105,14,86,631
54,100,15,85,628
57,107,17,88,629
52,103,14,79,627
53,102,16,83,626
66,88,19,79,628
55,124,10,78,647
72,90,8,96,639
58,119,22,73,621
72,95,11,81,629
54,100,17,88,630
51,114,7,91,637
70,91,10,97,637
60,96,6,100,639
58,101,18,89,629
49,103,14,87,633
57,103,15,82,624
54,102,19,84,627
53,103,18,82,627
56,102,16,86,630
50,100,20,83,625
53,103,12,81,632
72,95,12,91,638
59,98,16,76,624
40,110,27,82,624
53,114,11,90,636
53,98,9,77,621
47,106,10,84,637
68,106,29,81,627
52,108,20,92,632
58,104,21,90,629
57,107,18,92,631
54,99,15,78,632
60,103,11,83,628
52,105,17,83,626
47,96,17,86,629
52,106,16,79,634
54,104,18,81,626
59,109,17,84,631
50,104,18,89,627
56,106,14,90,631
54,104,12,82,627
56,103,17,90,634
56,109,19,91,629
56,106,14,84,629
74,100,34,82,637
47,114,28,93,625
71,97,9,97,647
51,96,15,95,647
58,114,29,94,631
61,99,8,79,622
54,115,26,87,623
71,96,6,89,637
62,111,14,84,630
55,100,13,82,638
58,105,14,82,631
51,98,15,87,631
63,108,16,86,629
52,107,18,91,627
57,106,16,88,635
58,104,18,83,642
51,115,17,96,639
41,104,8,103,624
47,115,31,83,627
59,101,13,94,643
43,116,30,87,628
47,98,10,105,643
52,105,15,90,629
59,92,9,92,638
53,105,19,85,632
57,104,15,88,629
55,103,13,82,628
52,93,15,88,625
53,92,12,89,631
53,105,20,85,628
54,98,16,85,624
58,107,20,91,635
71,94,6,97,623
63,111,14,89,628
67,91,20,76,622
72,91,11,97,624
59,106,17,88,637
61,101,19,84,642
45,93,8,86,636
53,104,19,83,629
54,103,15,80,631
51,100,21,91,627
56,107,20,85,629
48,102,17,89,627
50,101,11,95,633
56,101,17,87,626
55,104,16,87,631
51,102,16,84,628
57,97,17,80,628
52,101,18,90,631
53,100,17,90,629
52,105,20,84,631
53,97,16,83,629
53,102,17,86,629
55,105,16,86,629
54,106,16,84,630
54,106,16,87,628
52,102,17,85,630
51,104,19,87,630
48,106,15,86,628
52,97,15,90,630
55,101,19,84,624
52,103,15,90,625
70,92,9,71,628
70,91,4,101,619
68,91,23,87,636
51,111,31,94,624
53,105,22,77,626
54,118,34,102,644
51,100,7,95,645
69,98,12,90,638
53,105,13,89,631
58,107,20,89,626
62,106,16,86,628
55,103,18,84,630
53,107,16,87,629
56,108,19,83,629
57,104,19,90,631
55,104,16,92,629
60,104,17,89,633
67,94,7,91,620
52,89,4,105,641
52,99,10,99,635
49,120,21,86,634
77,103,15,99,645
49,115,30,86,628
48,115,18,90,627
57,107,13,86,626
63,107,17,88,630
55,110,16,88,633
59,103,15,84,631
57,99,22,83,627
59,104,14,88,628
57,101,18,87,634
60,100,19,85,630
57,109,16,95,641
53,97,23,91,626
51,115,19,103,647
56,115,22,101,628
43,105,18,82,643
68,93,5,98,642
52,113,11,96,647
59,107,19,86,630
55,98,19,85,629
55,102,18,92,636
56,105,16,86,628
60,103,20,85,630
52,105,15,88,627
47,104,19,91,637
55,101,13,81,632
56,104,21,86,635
65,93,7,76,641
66,113,24,87,642
70,89,8,95,643
61,108,21,84,645
64,91,10,89,628
53,106,16,95,641
59,113,29,77,628
70,85,8,100,632
58,98,16,88,631
59,106,14,84,632
59,101,18,90,632
55,103,14,86,631
53,103,13,88,629
52,105,16,89,631
55,106,20,83,627
52,104,18,89,630
57,104,17,83,624
52,103,18,82,632
54,98,20,107,644
61,100,18,103,642
73,97,3,91,641
51,107,15,87,637
61,91,8,85,637
56,110,21,77,624
57,102,17,88,633
56,104,17,83,630
54,104,17,90,635
57,103,17,86,633
57,102,20,89,631
58,100,12,88,636
55,102,13,90,630
52,106,17,86,627
56,93,5,98,640
69,92,8,77,626
66,113,30,87,637
47,92,28,95,624
45,111,33,86,631
59,113,31,80,632
49,116,33,104,644
65,103,10,93,644
64,109,16,86,624
53,102,18,88,626
53,108,18,87,632
54,104,19,86,631
54,105,18,83,624
53,101,15,88,631
58,105,16,86,632
52,98,21,92,629
50,121,10,89,648
43,93,20,84,625
60,107,21,84,635
57,101,18,87,632
54,103,14,85,626
59,105,18,88,627
61,103,16,90,632
58,101,15,85,631
54,103,19,89,631
56,103,15,90,629
58,102,15,86,628
56,106,13,85,626
49,100,16,83,628
58,100,12,87,630
55,99,19,87,630
57,103,16,90,633
46,104,17,85,631
53,99,14,86,630
70,94,10,90,637
67,95,11,95,638
67,100,19,87,628
51,111,18,87,628
60,101,23,74,626
45,111,26,86,636
54,107,21,85,627
54,103,19,86,632
53,106,20,85,628
57,105,17,82,629
59,104,17,87,627
54,103,18,82,634
56,99,15,85,629
56,107,17,83,635
52,104,10,81,631
56,103,17,86,633
60,105,14,88,630
54,106,17,90,628
51,101,20,84,631
55,101,15,78,628
56,104,19,85,634
54,104,14,90,633
60,104,17,78,630
57,107,14,88,629
56,103,16,84,634
55,98,15,88,627
56,104,19,88,629
60,105,19,85,632
51,101,18,86,628
57,101,17,78,629
45,116,23,93,628
62,89,20,80,627
66,100,4,90,633
53,100,14,89,640
40,110,7,77,619
56,97,21,82,633
62,93,13,89,643
64,102,26,79,636
59,103,18,82,624
52,103,11,84,626
54,99,12,86,630
54,109,21,86,628
55,105,20,87,631
54,106,19,84,629
52,100,17,82,628
58,104,16,84,630
59,102,18,84,633
54,102,17,88,631
60,96,16,76,624
70,103,9,91,646
62,104,28,80,627
47,121,7,89,626
52,108,21,75,633
48,96,23,96,645
56,104,17,82,633
57,104,19,82,631
55,108,14,90,631
54,95,13,88,629
57,100,19,81,629
59,99,19,86,629
52,102,15,86,632
50,105,17,82,632
50,109,12,93,632
48,113,26,86,580
54,114,24,95,651
46,112,29,77,626
52,95,22,79,635
58,97,15,83,637
53,101,17,85,638
53,105,12,84,632
57,101,15,85,631
56,107,10,87,628
59,105,16,84,631
52,101,17,85,638
54,106,22,89,628
55,106,15,89,631
54,101,20,89,634
51,104,17,88,634
58,101,19,89,631
54,101,18,82,634
54,103,14,85,627
61,104,16,87,631
55,104,20,87,635
51,100,16,91,635
52,100,15,86,630
58,101,15,90,629
56,106,14,86,628
51,105,21,81,626
60,101,17,88,634
56,103,16,87,630
56,101,19,86,636
55,105,18,86,630
56,106,15,87,634
57,103,15,81,632
60,104,17,86,635
55,105,18,85,633
57,105,18,84,634
55,104,16,87,633
54,104,15,92,631
55,104,16,82,634
53,103,13,85,632
61,101,19,88,632
61,106,16,86,636
51,99,14,87,630
61,107,14,82,630
54,106,15,89,635
53,110,30,98,647
59,104,23,81,630
46,120,8,82,632
46,107,23,84,635
40,109,28,75,627
55,105,17,84,632
53,104,14,80,635
56,104,19,84,629
62,100,17,84,629
58,103,19,90,627
54,104,15,80,633
54,107,14,88,632
52,105,17,88,631
52,103,17,90,631
54,104,16,84,633
56,105,14,83,633
55,101,18,86,630
57,105,14,87,632
53,108,15,89,632
60,93,10,78,619
47,114,33,85,642
49,102,12,79,637
63,92,19,79,631
62,103,10,95,648
52,101,14,79,629
53,104,13,85,634
54,102,19,88,631
55,107,17,87,635
54,105,15,84,637
52,98,15,80,633
54,107,15,84,627
52,103,14,87,634
50,110,17,90,639
47,118,32,78,628
48,116,22,83,626
46,118,23,78,627
64,98,8,85,626
48,113,33,96,646
54,105,11,75,640
69,97,12,82,628
56,105,16,89,634
53,101,19,84,629
61,103,15,84,632
55,101,20,88,633
55,104,20,88,634
54,100,19,88,635
55,107,20,89,632
53,100,18,77,633
65,110,10,76,623
56,106,10,97,643
70,95,20,76,634
45,116,7,73,626
57,100,23,82,640
57,90,9,85,627
59,109,6,97,627
48,120,34,99,648
59,102,17,83,629
57,107,14,91,631
57,102,15,87,636
55,105,17,83,632
61,104,19,88,627
55,104,16,87,633
60,103,18,88,633
54,104,15,95,649
46,116,26,79,629
67,94,7,100,646
49,120,28,78,648
50,89,7,99,650
55,104,16,82,634
52,91,9,91,642
65,98,18,101,631
52,113,30,99,645
62,110,15,86,629
56,104,13,87,630
52,104,16,82,635
53,100,18,84,637
53,99,19,89,633
58,102,19,85,632
60,99,18,84,631
54,106,18,79,629
52,117,14,86,625
51,103,15,88,630
59,106,12,88,632
53,101,16,83,636
56,105,18,91,639
57,102,15,82,628
50,100,17,82,635
53,104,15,87,633
55,107,11,90,633
56,104,19,88,633
54,99,15,86,631
52,106,18,83,634
50,99,11,84,635
53,102,18,84,635
52,103,17,85,632
57,104,18,89,634
58,105,13,86,631
53,101,16,91,631
58,103,16,84,632
55,103,14,91,637
51,118,31,78,629
48,111,26,92,631
69,118,8,99,648
48,119,19,77,639
65,98,20,78,623
60,102,22,80,624
49,106,22,77,641
65,97,15,88,635
54,102,15,79,629
50,102,15,85,633
55,102,18,80,631
55,103,16,82,629
56,101,16,87,633
54,103,15,80,629
54,100,16,87,634
65,98,23,94,642
58,119,15,86,649
63,101,9,94,625
64,109,30,77,631
68,91,13,85,636
45,100,33,96,647
64,100,9,84,645
54,119,26,76,639
60,96,7,73,649
61,103,15,88,634
55,102,17,81,629
53,101,19,88,634
56,102,12,82,638
58,106,15,85,631
55,105,19,81,633
57,106,18,84,635
54,103,17,85,635
58,103,18,86,633
58,102,12,77,626
55,110,15,88,628
57,103,17,91,633
58,103,16,88,630
54,98,16,86,638
56,100,16,87,631
72,98,6,88,649
68,109,10,88,629
57,100,16,89,637
62,104,19,92,634
52,103,18,85,631
55,98,17,91,632
55,106,16,88,636
56,100,16,83,626
57,103,16,80,633
54,100,14,86,640
60,104,20,87,634
61,106,17,85,638
59,101,12,83,632
59,104,17,87,633
57,109,12,84,634
55,104,15,86,633
55,99,20,82,639
57,103,16,84,637
56,105,15,88,634
54,103,17,85,633
44,104,31,81,628
47,116,23,93,640
56,95,4,96,653
59,114,13,93,638
43,113,20,80,639
58,99,17,83,637
55,105,17,86,632
62,96,14,84,640
54,100,15,86,632
56,105,20,87,636
53,105,16,86,632
55,107,21,84,631
56,103,17,81,634
49,97,14,83,631
59,106,16,84,634
53,102,14,86,635
55,103,14,88,632
54,106,15,82,630
61,106,16,85,630
55,103,14,86,634
50,102,17,82,636
58,106,17,79,636
52,101,16,87,636
54,101,16,80,629
64,117,21,86,630
67,90,7,97,646
65,115,26,94,652
64,103,22,89,629
50,96,9,95,639
71,93,7,81,638
44,113,30,80,632
45,111,26,85,638
54,100,18,82,631
54,105,19,82,638
57,104,15,83,629
52,99,17,86,632
57,104,17,89,632
63,101,20,83,634
58,101,17,88,636
58,106,23,83,641
58,94,10,90,624
43,105,30,77,626
56,107,12,96,645
62,99,8,94,634
51,103,14,87,632
56,104,17,83,626
54,103,16,86,632
57,102,15,87,633
56,102,14,83,633
54,98,16,87,634
55,106,15,86,630
59,105,17,92,634
67,102,28,77,643
50,107,20,84,628
60,110,18,82,625
55,90,9,76,632
66,106,16,86,638
45,104,23,90,651
65,98,29,72,633
69,93,9,93,653
72,93,10,82,652
56,107,21,89,633
58,102,14,89,635
55,100,14,81,635
59,108,14,88,633
61,106,20,88,638
53,102,17,88,636
50,105,15,85,634
58,105,16,88,635
50,103,16,84,635
51,98,23,86,632
54,101,20,84,633
55,100,18,85,632
56,106,14,86,629
64,105,17,86,629
57,105,16,83,633
58,103,16,89,632
56,99,16,84,629
53,108,15,87,638
51,103,17,93,636
54,105,18,87,635
55,111,17,86,634
53,106,21,89,634
58,107,18,85,631
69,102,11,96,651
48,99,27,90,645
50,117,12,85,625
70,100,15,104,645
49,109,15,91,636
55,101,21,84,631
57,99,17,89,635
56,101,13,89,632
57,103,18,84,630
55,103,20,87,632
58,102,14,88,630
55,106,18,85,633
56,100,18,79,638
58,104,16,83,631
56,105,15,89,633
64,104,15,92,641
57,96,11,83,645
64,108,14,85,630
65,91,9,87,628
47,107,17,83,629
43,102,15,85,633
58,102,14,80,638
58,108,19,86,636
54,104,13,92,631
56,102,18,85,637
56,101,18,85,627
52,106,21,88,632
59,105,14,88,636
54,102,14,85,636
60,105,16,86,635
56,106,18,85,637
58,101,17,85,636
44,117,26,86,630
49,101,10,78,630
64,97,12,101,627
45,119,27,75,629
71,97,7,89,630
57,99,13,87,630
60,103,12,87,638
63,105,17,87,636
62,101,16,86,629
56,105,16,87,638
54,105,14,82,637
51,105,15,88,629
59,108,19,87,636
55,107,17,88,636
60,102,18,87,635
50,102,15,88,634
56,101,13,86,633
56,104,17,85,635
55,102,19,92,647
63,93,20,79,627
57,115,7,97,643
64,106,5,102,649
43,112,32,100,647
71,96,7,91,640
49,107,17,86,635
59,106,16,92,636
54,101,15,87,637
57,100,19,89,637
54,100,17,85,634
57,104,17,82,634
52,102,21,88,634
51,105,18,85,637
50,110,23,96,650
70,95,10,99,629
54,94,18,73,639
64,104,15,97,634
52,98,18,84,654
69,94,26,92,646
44,118,22,81,631
54,93,17,84,640
52,107,13,87,632
56,102,18,90,633
61,104,14,86,633
55,100,17,84,629
57,106,13,87,633
60,105,17,89,630
52,101,18,87,636
57,106,17,84,632
51,104,19,79,635
57,99,18,88,632
55,105,17,84,632
55,100,13,90,633
56,105,20,81,653
62,98,31,78,628
63,109,30,104,654
51,117,14,100,649
58,101,18,86,635
56,100,16,89,635
52,106,15,85,631
58,105,18,89,634
55,102,15,84,634
59,105,20,91,638
56,103,14,85,635
59,102,17,86,632
52,103,15,86,630
58,107,22,84,634
49,125,19,101,644
64,119,20,95,657
52,109,14,88,633
51,115,26,100,644
44,123,27,100,626
44,109,25,81,637
52,105,20,88,630
47,106,17,88,637
55,104,14,89,635
55,101,17,89,632
52,101,18,90,633
56,101,19,86,633
55,102,18,93,632
59,102,20,89,627
59,104,18,90,636
56,101,15,85,622
55,105,16,90,637
60,103,15,89,638
52,101,10,91,634
56,104,28,102,652
50,110,21,93,641
63,94,10,102,628
55,111,17,85,638
52,102,12,87,634
59,102,19,86,638
55,104,16,89,635
56,100,15,89,635
55,108,13,88,636
52,103,19,85,633
55,102,19,91,638
56,107,20,89,632
55,106,15,89,639
57,104,15,90,635
62,100,18,85,639
56,106,18,89,633
56,107,17,88,633
55,102,13,87,633
55,102,18,86,635
55,102,15,88,635
55,100,21,88,639
50,104,16,91,636
57,109,17,87,631
53,101,16,91,635
60,102,17,89,635
66,92,15,85,630
49,113,33,78,640
52,111,8,100,639
71,110,20,88,637
66,89,27,107,649
64,89,27,96,655
49,115,16,91,638
69,100,29,96,638
49,102,18,87,629
55,108,14,83,636
56,102,15,90,635
51,105,20,88,633
54,104,15,85,637
49,104,15,86,635
58,104,16,83,635
55,102,14,84,634
56,105,15,88,632
59,104,21,90,634
58,103,15,88,632
60,98,17,83,641
44,110,12,84,639
69,94,13,82,632
68,98,10,105,645
72,101,14,102,631
52,102,18,88,634
53,103,20,87,636
57,99,18,87,633
53,103,15,90,634
55,99,18,91,633
55,101,13,84,638
58,106,15,88,635
56,101,13,89,636
54,100,13,82,633
60,101,13,100,640
72,99,9,93,647
53,111,20,82,631
68,92,19,78,633
54,102,22,81,630
64,112,29,88,637
51,115,29,81,628
60,107,15,85,634
56,102,15,84,638
60,105,16,86,632
60,101,15,88,637
52,101,16,87,633
52,102,13,88,636
51,107,17,86,633
57,103,19,89,636
55,99,19,87,635
55,101,16,85,636
58,104,16,87,639
61,105,16,90,632
62,110,30,98,650
69,104,28,78,644
61,100,16,82,628
63,93,7,81,639
57,103,15,90,634
51,102,16,79,637
56,100,16,89,638
59,98,20,91,638
57,107,16,86,638
58,105,13,86,634
52,99,15,81,633
51,102,17,89,643
67,101,9,77,632
56,112,24,79,645
73,100,25,72,645
70,96,9,96,638
49,103,20,87,637
65,100,9,90,629
69,90,6,91,646
43,116,25,78,627
62,106,20,88,633
54,103,15,88,638
59,107,17,84,633
59,98,16,87,634
56,105,14,88,633
58,110,16,85,634
59,104,18,82,640
59,98,16,87,636
60,107,16,89,635
53,99,18,84,627
60,105,18,84,627
63,104,19,84,639
72,98,11,85,632
50,93,10,88,650
66,92,4,96,647
68,99,8,87,635
56,103,17,86,637
62,100,23,88,636
55,103,16,91,637
58,104,18,86,636
56,103,14,91,637
50,102,18,86,635
57,108,21,87,642
53,99,13,83,636
55,101,18,85,634
52,110,14,100,653
46,113,21,89,651
61,101,20,86,644
65,87,18,87,635
55,88,19,86,634
52,103,14,86,633
57,101,15,86,638
54,101,18,89,633
52,99,16,87,635
59,101,19,80,636
56,108,18,88,639
51,102,15,84,637
55,101,20,84,638
55,103,20,91,640
62,105,22,90,639
54,104,20,90,642
58,109,17,87,642
57,102,16,85,637
52,105,15,88,640
63,111,15,92,653
50,98,19,98,648
68,96,22,102,656
72,100,9,86,638
57,101,16,84,637
55,102,18,89,636
61,102,15,85,638
57,105,20,87,634
55,101,19,89,635
62,107,19,86,633
56,100,15,85,634
61,103,16,87,637
73,91,8,102,651
55,93,11,88,636
68,96,9,101,651
56,119,25,101,651
75,101,15,86,637
60,107,21,103,650
48,118,27,83,642
59,110,10,93,646
66,103,14,87,633
59,104,15,86,634
55,105,17,89,641
52,103,15,85,633
53,103,18,85,633
56,107,14,85,632
52,104,13,85,639
58,102,15,84,641
60,103,16,86,642
53,104,14,88,638
58,109,14,88,638
59,102,20,86,635
52,101,14,85,634
54,100,16,84,635
58,103,18,87,636
57,105,14,87,637
58,103,20,88,637
56,104,15,84,638
57,106,16,85,635
56,101,15,81,634
60,109,18,88,637
57,103,19,84,639
58,102,20,90,639
49,101,15,88,635
66,99,21,83,628
52,109,16,85,645
69,114,28,80,645
62,98,29,79,639
58,120,32,87,637
72,93,14,76,634
63,100,6,90,649
43,114,20,80,637
60,105,17,87,638
52,101,19,85,637
51,101,15,85,636
55,101,14,89,636
57,105,17,86,634
65,105,16,86,635
59,106,16,85,632
53,103,16,84,636
54,101,18,87,637
53,103,16,84,637
61,106,18,91,639
58,107,19,84,636
57,104,12,86,640
59,97,14,84,635
62,104,13,87,638
58,109,19,81,639
65,108,14,86,640
60,102,13,84,639
59,99,15,82,638
55,103,13,81,634
53,107,18,78,635
51,100,14,90,635
54,101,15,87,637
56,101,11,86,636
52,112,18,82,631
72,90,9,96,644
64,99,6,101,653
57,98,26,82,652
61,104,14,87,636
48,117,20,74,630
49,114,20,80,633
54,96,20,79,638
55,102,18,86,635
47,101,22,86,633
52,102,16,84,640
61,105,22,85,639
62,101,17,83,639
59,102,18,87,636
60,108,19,88,642
60,116,27,83,641
49,115,25,85,639
56,97,19,93,643
51,103,16,84,640
59,106,13,84,635
55,99,14,87,638
55,101,18,83,639
53,102,14,90,638
53,103,17,86,632
58,102,19,84,629
55,106,17,85,641
61,104,16,85,637
54,101,19,87,638
57,101,14,83,637
58,102,15,86,632
56,106,13,85,634
60,104,11,81,633
60,121,32,89,641
69,96,22,74,644
50,104,32,80,634
61,102,11,79,631
56,105,27,84,636
67,98,10,91,637
61,99,15,89,645
55,99,16,85,639
58,105,17,85,630
55,105,18,83,637
56,103,17,86,637
58,103,16,83,635
54,103,17,91,637
55,100,18,86,639
51,105,23,89,636
65,116,29,86,649
63,98,22,83,633
54,102,14,78,629
51,113,26,84,636
57,114,27,83,640
51,100,18,87,634
54,101,18,90,642
57,102,20,84,638
52,104,16,81,637
59,101,13,87,636
57,101,16,87,637
60,98,17,80,637
58,103,20,82,642
57,103,17,89,640
54,105,15,86,640
52,105,17,81,635
61,105,13,88,640
62,103,17,89,636
57,103,16,88,638
54,104,18,85,628
58,104,18,86,633
54,102,15,81,636
53,100,17,85,641
50,102,18,84,637
53,100,17,85,635
58,102,16,82,638
63,100,18,86,639
59,102,19,87,634
54,105,16,90,639
53,106,19,87,636
55,103,16,83,637
57,106,25,77,632
51,102,12,91,653
72,95,22,98,653
57,113,11,99,639
48,109,20,79,632
66,105,27,84,636
61,105,17,88,634
63,93,9,80,643
63,108,16,84,629
60,105,21,81,636
59,105,17,95,634
53,100,14,87,637
60,106,14,86,640
54,103,17,84,639
55,107,18,86,637
59,106,18,84,633
62,107,15,81,634
48,110,25,88,648
56,97,11,81,642
66,102,21,100,652
54,117,26,77,628
61,108,26,92,637
54,100,28,78,646
53,109,6,99,654
66,92,6,102,654
61,101,19,86,638
57,104,14,85,635
55,102,16,81,640
52,103,13,80,638
62,103,18,88,638
58,101,18,90,637
57,100,15,86,638
56,104,13,80,639
58,104,19,82,640
58,104,18,85,638
52,100,11,84,638
54,101,14,83,639
80,94,6,97,654
50,105,29,75,633
70,113,18,86,648
63,108,9,86,645
60,93,7,80,648
41,111,23,88,648
69,105,24,79,637
64,96,5,98,635
57,101,16,85,574
53,102,20,89,637
60,106,14,86,637
52,105,13,84,639
58,106,16,88,638
62,104,19,73,637
60,101,17,79,639
59,104,15,81,638
54,100,17,85,639
56,102,21,89,636
65,102,15,81,637
56,102,20,88,633
54,100,13,81,640
47,110,21,95,651
60,114,29,82,631
57,102,15,86,631
59,101,19,86,637
60,92,16,82,639
63,105,18,89,635
55,102,16,87,635
51,103,15,84,636
57,103,10,85,641
52,101,18,89,640
64,105,16,87,649
45,109,10,98,650
64,85,20,98,647
49,115,18,99,649
59,112,25,86,633
66,91,26,76,629
51,100,18,74,632
49,122,23,76,638
62,104,16,82,634
57,106,21,90,635
61,100,17,83,640
56,104,16,85,643
56,98,19,85,636
57,104,17,87,638
51,102,16,89,639
60,102,16,84,632
56,104,14,85,639
66,94,7,89,657
67,100,22,85,632
61,103,15,83,646
67,90,6,93,633
58,102,10,86,656
45,108,28,77,631
64,94,8,96,655
61,99,15,87,636
55,104,14,94,640
51,99,15,89,643
56,100,19,89,638
54,98,14,89,640
58,98,16,88,637
49,102,19,84,638
51,104,22,89,630
50,113,26,77,636
50,112,30,83,640
73,93,11,93,653
45,117,29,79,636
49,114,17,88,642
56,104,17,82,640
51,111,9,101,649
63,103,29,97,651
48,114,22,75,636
53,101,13,76,632
58,104,17,87,636
56,101,16,85,641
56,100,16,83,640
52,101,16,85,637
53,101,16,82,640
56,108,14,88,644
56,104,16,84,638
58,103,15,85,635
52,102,18,90,637
58,100,15,84,639
54,104,17,86,635
54,105,15,86,638
54,104,15,87,655
56,116,22,78,638
55,102,16,82,633
56,103,20,87,640
60,99,16,90,639
54,102,17,90,638
56,102,15,88,636
54,101,16,90,639
57,104,17,86,641
58,103,15,88,638
51,113,30,90,633
55,100,6,85,636
72,95,14,89,639
56,103,29,92,632
66,101,6,92,635
47,119,27,89,647
61,97,32,84,645
48,119,23,84,626
49,107,24,78,634
58,104,16,88,640
56,99,15,89,638
54,99,15,87,638
52,105,17,87,637
56,102,19,85,639
57,107,17,87,645
54,106,15,86,639
55,104,18,85,638
52,101,16,89,634
60,103,13,82,635
56,101,16,90,637
57,106,21,86,637
58,104,19,89,640
56,103,19,87,641
54,108,20,85,636
61,105,13,85,638
60,105,13,88,635
53,101,18,88,641
56,102,13,86,640
60,106,16,89,637
57,99,14,90,638
54,105,18,82,637
60,107,20,87,633
60,105,15,89,654
53,118,27,98,636
52,114,29,79,634
71,91,9,93,653
74,105,17,88,639
46,112,22,81,633
44,112,29,77,634
49,120,13,93,638
54,115,29,77,643
64,99,16,86,642
58,104,16,85,635
58,105,20,89,642
56,105,18,85,642
51,105,16,87,634
60,102,19,89,640
57,101,20,86,639
56,103,16,82,637
57,99,17,85,638
54,100,14,83,621
58,102,17,88,642
54,101,14,84,635
54,104,17,87,636
51,102,17,86,637
58,100,16,85,638
58,107,17,90,632
57,101,18,87,636
52,102,14,87,638
54,99,16,88,642
54,98,13,90,640
54,104,19,83,637
56,103,13,85,642
55,106,18,80,636
54,100,7,104,632
47,112,14,99,653
48,119,28,77,654
61,100,29,94,652
66,106,14,77,634
50,101,13,77,637
69,93,6,93,657
62,94,8,88,653
58,107,11,96,656
60,104,14,88,637
56,106,14,88,641
62,109,22,87,643
58,103,23,91,637
59,104,17,85,640
58,105,18,86,642
60,99,16,84,636
52,102,15,83,642
55,105,18,86,644
60,101,15,84,637
58,107,16,88,645
52,101,13,83,634
55,101,17,84,638
56,101,15,81,639
57,104,20,86,638
64,100,17,84,638
62,101,13,80,637
55,103,16,82,640
51,102,13,89,642
55,104,18,84,637
59,101,13,88,627
61,108,19,83,639
57,96,13,88,641
66,92,11,96,648
72,89,16,81,641
64,96,15,100,655
76,98,21,96,652
59,103,19,96,637
65,114,17,94,645
68,93,9,93,644
68,97,6,99,654
43,112,26,83,654
55,105,15,84,639
55,101,21,87,636
58,103,19,89,638
55,103,20,84,637
56,111,18,85,641
56,102,19,89,638
55,111,15,83,641
66,106,20,91,641
58,104,14,85,641
54,104,14,84,642
58,102,18,91,638
56,104,18,83,637
58,102,14,87,638
59,92,19,85,634
58,104,16,84,642
60,104,16,86,641
55,102,14,86,640
59,100,16,87,641
57,106,17,88,639
63,103,15,85,643
51,100,19,87,639
61,104,15,81,637
56,106,14,85,635
59,106,16,82,627
48,105,23,83,636
56,114,30,98,649
63,96,30,93,639
59,107,23,95,655
59,92,12,103,652
51,100,7,87,642
49,120,26,98,634
52,115,27,90,648
59,99,18,85,643
59,101,13,91,638
58,104,19,86,640
59,103,17,85,638
58,99,13,86,637
56,102,15,85,638
54,102,16,90,640
62,104,15,86,642
61,102,14,87,638
59,102,16,88,640
46,108,23,78,642
72,111,22,83,635
48,112,9,81,633
45,112,27,88,651
46,102,11,78,640
60,97,22,88,637
62,103,20,86,639
54,103,18,88,642
65,107,19,89,641
58,104,19,84,638
61,100,14,85,635
56,109,17,86,637
55,105,15,85,638
56,101,17,88,639
57,102,16,87,638
60,106,14,87,644
59,107,13,87,645
59,104,20,92,640
57,106,14,88,643
57,117,16,75,629
53,112,9,101,654
67,93,9,95,647
69,92,8,101,647
68,98,32,77,642
63,104,6,83,659
68,101,31,77,639
64,105,16,87,640
55,106,20,85,642
58,105,15,87,643
62,100,17,90,639
62,97,17,89,643
55,100,17,88,637
56,100,17,88,638
53,107,16,90,638
60,106,21,90,638
54,105,14,84,639
56,117,7,97,646
61,105,8,94,654
48,113,30,92,655
57,103,26,73,639
71,98,18,77,637
61,105,18,88,643
57,108,17,85,638
53,108,19,87,638
56,105,12,85,637
59,106,18,87,643
55,105,17,87,637
53,106,14,85,638
61,102,18,86,642
65,105,17,81,643
60,95,28,95,655
61,100,12,93,654
71,97,25,73,640
56,117,12,78,650
60,101,20,90,638
59,104,15,86,644
59,103,14,86,644
55,102,18,91,641
61,101,17,88,642
56,99,19,90,644
56,104,16,88,642
49,105,15,89,640
63,103,19,84,638
58,108,18,86,640
57,103,18,89,638
50,106,20,87,636
54,104,17,88,640
60,95,21,86,638
61,107,14,88,638
60,103,17,83,641
62,106,15,75,637
48,120,30,102,656
70,96,7,99,649
62,97,16,79,632
57,103,18,89,641
54,102,17,89,637
54,98,17,84,639
59,101,14,86,639
55,104,15,90,644
50,104,15,89,637
55,105,16,85,641
55,109,18,87,638
54,103,17,88,635
68,104,12,90,642
59,106,15,87,637
65,97,11,86,637
66,101,29,74,641
68,101,6,99,653
52,97,11,89,633
56,113,9,88,637
56,99,14,84,639
54,103,20,85,638
56,103,15,89,640
50,105,16,85,641
53,106,17,81,639
56,106,13,91,644
56,108,18,85,637
60,106,16,85,644
57,100,20,88,646
58,98,17,87,643
59,106,21,87,640
53,103,14,82,640
67,102,14,92,642
57,100,18,89,638
59,105,15,86,642
57,106,16,90,647
54,104,16,86,637
58,102,16,88,637
58,99,20,84,641
54,104,19,85,641
55,103,16,88,640
57,112,16,85,637
55,100,15,88,644
52,104,18,87,636
76,95,23,98,644
47,111,34,90,661
48,98,18,89,655
45,110,8,84,646
70,95,20,88,638
58,112,27,90,656
63,91,27,85,645
63,98,10,79,633
50,102,18,87,644
54,103,18,88,640
