MQ2,MQ3,MQ5,MQ8,MQ135
53,99,11,85,575
51,94,17,70,562
45,109,23,83,563
45,95,29,86,572
45,90,13,74,560
55,96,16,79,558
49,97,13,81,560
49,95,10,75,559
44,95,11,72,562
50,94,11,81,557
50,96,13,78,561
45,92,17,83,563
49,94,4,94,570
34,88,9,87,574
39,106,22,76,559
42,105,16,90,567
57,99,15,79,564
53,102,12,79,552
43,97,12,72,568
49,92,12,67,553
69,89,9,76,579
50,93,14,78,560
45,93,11,75,559
45,97,15,83,559
47,97,14,80,560
51,97,14,76,556
48,96,14,81,559
50,93,14,78,563
53,90,16,81,557
51,89,15,78,560
46,96,15,81,560
49,91,14,77,560
49,95,14,76,554
52,96,13,77,558
48,99,13,79,555
52,93,26,88,570
53,93,16,80,558
45,90,7,81,562
48,88,16,79,557
55,92,14,76,554
48,92,14,75,560
47,98,16,82,564
47,91,11,76,564
46,93,12,76,561
50,95,13,79,564
47,93,13,79,560
48,99,17,81,560
50,93,14,79,558
44,89,11,75,557
46,94,19,93,572
35,109,30,84,567
58,97,4,68,555
65,91,3,91,565
56,94,17,78,561
52,91,13,77,560
47,89,16,80,566
49,93,17,78,561
46,92,13,81,558
53,95,18,80,562
50,95,16,79,566
62,85,10,87,560
45,97,14,86,571
41,113,17,79,559
38,109,26,89,559
58,93,20,68,555
51,104,16,86,578
36,109,30,80,579
38,108,11,89,575
48,86,9,80,559
50,94,17,76,558
53,97,18,79,557
48,98,17,82,557
44,94,14,81,561
51,92,15,80,561
47,94,13,76,560
48,98,14,79,564
50,94,17,82,561
47,94,16,79,566
46,95,16,84,564
47,95,18,78,561
50,93,16,83,558
54,90,14,83,560
50,100,13,85,563
47,93,19,79,566
46,88,14,79,563
50,88,14,75,563
44,96,17,80,564
42,96,16,77,561
47,91,9,80,560
52,99,15,79,559
45,98,16,76,561
45,92,14,74,561
52,96,12,78,559
47,92,14,76,565
48,90,14,79,562
51,91,14,85,557
53,91,20,81,564
47,97,14,76,566
52,100,13,80,560
49,99,19,79,557
49,97,15,79,559
48,92,14,79,562
53,95,13,80,559
52,98,16,83,562
47,90,15,80,561
49,94,16,75,563
48,94,14,78,561
39,95,16,80,563
46,94,15,84,559
52,95,12,81,566
48,89,17,82,562
49,98,15,80,563
56,108,27,78,569
61,88,16,90,577
49,105,22,72,563
58,103,25,84,568
39,111,23,98,581
48,108,24,66,562
60,84,8,84,563
43,96,27,83,569
52,95,14,76,562
52,93,14,75,563
45,92,14,79,567
52,94,14,80,557
50,98,13,79,566
45,97,16,77,564
45,94,14,80,571
46,88,16,78,561
56,97,6,91,573
40,102,29,89,577
47,96,21,74,574
42,109,22,70,561
50,101,16,78,565
